ID,category,Question Text,Option A,Option B,Option C,Option D,Option E,Score A,Score B,Score C,Score D,Score E
1,Subject Interest & Domain Curiosity,"When you have free time and no obligations, what kind of content do you find yourself consuming most?","Videos or articles about science, tech, or how things work","Stories, films, music, or creative content","News, debates, economics, or social issues","Business ideas, startups, or money topics","Sports, fitness, cooking, or hands-on activities",4,3,2,1,1
2,Subject Interest & Domain Curiosity,"If your school gave you a completely free period with no instructions, what would you most likely do?",Work on a side project or experiment,"Read, write, or sketch something creative",Have a deep conversation about something meaningful,Plan something or organise your schedule,Explore something online that I've been curious about,4,3,2,1,1
3,Subject Interest & Domain Curiosity,Which type of problem gives you the most satisfaction when you solve it?,A logical or mathematical puzzle,A creative challenge with no fixed answer,"A people problem — conflict, communication, or teamwork","A real-world practical problem (fixing, building, making)",A research question where I have to dig for answers,4,3,2,1,1
4,Subject Interest & Domain Curiosity,How strongly does this describe you: 'I often go deeper into topics than what's required in school'?,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
5,Subject Interest & Domain Curiosity,Scenario: You discover a new subject that isn't taught in school but sounds fascinating. What do you do?,Watch a few videos and move on if it gets too complex,Read about it seriously and try to find courses,Join a community or forum of people interested in it,Try to apply it to something practical immediately,Share it with friends and discuss whether it's useful,4,3,2,1,1
6,Cognitive & Creative Skills,You're given a large amount of data and asked to find a pattern. Your first instinct is to:,Build a spreadsheet or chart to visualise it,Look for the story or narrative behind the numbers,Talk it through with someone to think out loud,Start eliminating what doesn't fit until a pattern emerges,Trust my gut and form a hypothesis first,4,3,2,1,1
7,Cognitive & Creative Skills,"When working on a creative task, you tend to:",Follow a clear structure and then add flair,Start with a wild idea and then refine it,Look at what others have done and improve on it,Wait for inspiration and then work intensely,"Build iteratively — small steps, constant tweaking",4,3,2,1,1
8,Cognitive & Creative Skills,Rate yourself: I find it easy to explain complex things in simple language.,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
9,Cognitive & Creative Skills,You are asked to come up with 10 uses for a brick in 5 minutes. Which response describes you best?,"I get to 4–5 fairly easily, then get stuck",I hit 10 quickly and some of mine are very unusual,I think of practical uses only,I'd rather debate whether the exercise is useful,I'd draw or map my ideas instead of listing them,4,3,2,1,1
10,Cognitive & Creative Skills, Rate yourself: I tend to notice details that others miss.,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
